Image ID,Resolution Category,Size (KB),Time Taken (ms),TrialNum,Method,Filters
1,720p,183,191.10,1,JS,GaussianBlur
1,720p,183,70.60,1,WASM,GaussianBlur
1,720p,183,181.60,2,JS,GaussianBlur
1,720p,183,71.70,2,WASM,GaussianBlur
1,720p,183,182.60,3,JS,GaussianBlur
1,720p,183,67.80,3,WASM,GaussianBlur
1,720p,183,187.70,4,JS,GaussianBlur
1,720p,183,64.90,4,WASM,GaussianBlur
1,720p,183,193.50,5,JS,GaussianBlur
1,720p,183,64.30,5,WASM,GaussianBlur
1,720p,183,188.30,6,JS,GaussianBlur
1,720p,183,64.80,6,WASM,GaussianBlur
1,720p,183,187.90,7,JS,GaussianBlur
1,720p,183,63.40,7,WASM,GaussianBlur
1,720p,183,193.50,8,JS,GaussianBlur
1,720p,183,63.90,8,WASM,GaussianBlur
1,720p,183,198.50,9,JS,GaussianBlur
1,720p,183,71.30,9,WASM,GaussianBlur
1,720p,183,187.10,10,JS,GaussianBlur
1,720p,183,64.40,10,WASM,GaussianBlur
2,720p,198,203.00,1,JS,GaussianBlur
2,720p,198,66.30,1,WASM,GaussianBlur
2,720p,198,193.80,2,JS,GaussianBlur
2,720p,198,62.10,2,WASM,GaussianBlur
2,720p,198,185.90,3,JS,GaussianBlur
2,720p,198,64.00,3,WASM,GaussianBlur
2,720p,198,191.40,4,JS,GaussianBlur
2,720p,198,62.30,4,WASM,GaussianBlur
2,720p,198,195.30,5,JS,GaussianBlur
2,720p,198,63.80,5,WASM,GaussianBlur
2,720p,198,197.10,6,JS,GaussianBlur
2,720p,198,64.00,6,WASM,GaussianBlur
2,720p,198,188.70,7,JS,GaussianBlur
2,720p,198,63.20,7,WASM,GaussianBlur
2,720p,198,185.60,8,JS,GaussianBlur
2,720p,198,64.10,8,WASM,GaussianBlur
2,720p,198,192.60,9,JS,GaussianBlur
2,720p,198,64.20,9,WASM,GaussianBlur
2,720p,198,182.50,10,JS,GaussianBlur
2,720p,198,63.90,10,WASM,GaussianBlur
3,720p,210,194.50,1,JS,GaussianBlur
3,720p,210,63.50,1,WASM,GaussianBlur
3,720p,210,194.00,2,JS,GaussianBlur
3,720p,210,61.80,2,WASM,GaussianBlur
3,720p,210,193.20,3,JS,GaussianBlur
3,720p,210,62.00,3,WASM,GaussianBlur
3,720p,210,184.90,4,JS,GaussianBlur
3,720p,210,71.00,4,WASM,GaussianBlur
3,720p,210,193.20,5,JS,GaussianBlur
3,720p,210,61.90,5,WASM,GaussianBlur
3,720p,210,197.20,6,JS,GaussianBlur
3,720p,210,61.70,6,WASM,GaussianBlur
3,720p,210,185.00,7,JS,GaussianBlur
3,720p,210,64.30,7,WASM,GaussianBlur
3,720p,210,186.70,8,JS,GaussianBlur
3,720p,210,60.50,8,WASM,GaussianBlur
3,720p,210,221.90,9,JS,GaussianBlur
3,720p,210,80.00,9,WASM,GaussianBlur
3,720p,210,211.70,10,JS,GaussianBlur
3,720p,210,63.50,10,WASM,GaussianBlur
4,720p,130,191.20,1,JS,GaussianBlur
4,720p,130,62.70,1,WASM,GaussianBlur
4,720p,130,185.40,2,JS,GaussianBlur
4,720p,130,64.80,2,WASM,GaussianBlur
4,720p,130,199.00,3,JS,GaussianBlur
4,720p,130,62.90,3,WASM,GaussianBlur
4,720p,130,194.60,4,JS,GaussianBlur
4,720p,130,64.30,4,WASM,GaussianBlur
4,720p,130,282.30,5,JS,GaussianBlur
4,720p,130,83.70,5,WASM,GaussianBlur
4,720p,130,224.30,6,JS,GaussianBlur
4,720p,130,71.20,6,WASM,GaussianBlur
4,720p,130,206.10,7,JS,GaussianBlur
4,720p,130,74.60,7,WASM,GaussianBlur
4,720p,130,243.20,8,JS,GaussianBlur
4,720p,130,78.40,8,WASM,GaussianBlur
4,720p,130,213.50,9,JS,GaussianBlur
4,720p,130,87.00,9,WASM,GaussianBlur
4,720p,130,226.40,10,JS,GaussianBlur
4,720p,130,70.90,10,WASM,GaussianBlur
5,720p,147,237.00,1,JS,GaussianBlur
5,720p,147,79.50,1,WASM,GaussianBlur
5,720p,147,220.70,2,JS,GaussianBlur
5,720p,147,81.60,2,WASM,GaussianBlur
5,720p,147,236.30,3,JS,GaussianBlur
5,720p,147,113.20,3,WASM,GaussianBlur
5,720p,147,279.70,4,JS,GaussianBlur
5,720p,147,90.00,4,WASM,GaussianBlur
5,720p,147,227.20,5,JS,GaussianBlur
5,720p,147,86.70,5,WASM,GaussianBlur
5,720p,147,221.00,6,JS,GaussianBlur
5,720p,147,77.40,6,WASM,GaussianBlur
5,720p,147,225.00,7,JS,GaussianBlur
5,720p,147,90.80,7,WASM,GaussianBlur
5,720p,147,235.10,8,JS,GaussianBlur
5,720p,147,82.80,8,WASM,GaussianBlur
5,720p,147,227.70,9,JS,GaussianBlur
5,720p,147,90.20,9,WASM,GaussianBlur
5,720p,147,232.00,10,JS,GaussianBlur
5,720p,147,83.10,10,WASM,GaussianBlur
6,720p,198,219.90,1,JS,GaussianBlur
