Image ID,Resolution Category,Size (KB),Time Taken (ms),TrialNum,Method,Filters
1,720p,183,8.10,1,JS,SepiaTone
1,720p,183,20.80,1,WASM,SepiaTone
1,720p,183,7.00,2,JS,SepiaTone
1,720p,183,14.00,2,WASM,SepiaTone
1,720p,183,10.60,3,JS,SepiaTone
1,720p,183,13.50,3,WASM,SepiaTone
1,720p,183,9.40,4,JS,SepiaTone
1,720p,183,17.70,4,WASM,SepiaTone
1,720p,183,8.40,5,JS,SepiaTone
1,720p,183,17.30,5,WASM,SepiaTone
1,720p,183,14.10,6,JS,SepiaTone
1,720p,183,24.80,6,WASM,SepiaTone
1,720p,183,19.60,7,JS,SepiaTone
1,720p,183,16.00,7,WASM,SepiaTone
1,720p,183,7.70,8,JS,SepiaTone
1,720p,183,23.90,8,WASM,SepiaTone
1,720p,183,11.90,9,JS,SepiaTone
1,720p,183,13.80,9,WASM,SepiaTone
1,720p,183,21.30,10,JS,SepiaTone
1,720p,183,14.10,10,WASM,SepiaTone
2,720p,198,8.20,1,JS,SepiaTone
2,720p,198,25.00,1,WASM,SepiaTone
2,720p,198,6.50,2,JS,SepiaTone
2,720p,198,15.80,2,WASM,SepiaTone
2,720p,198,8.30,3,JS,SepiaTone
2,720p,198,15.70,3,WASM,SepiaTone
2,720p,198,7.80,4,JS,SepiaTone
2,720p,198,17.70,4,WASM,SepiaTone
2,720p,198,9.70,5,JS,SepiaTone
2,720p,198,19.60,5,WASM,SepiaTone
2,720p,198,7.60,6,JS,SepiaTone
2,720p,198,15.60,6,WASM,SepiaTone
2,720p,198,7.40,7,JS,SepiaTone
2,720p,198,17.70,7,WASM,SepiaTone
2,720p,198,10.70,8,JS,SepiaTone
2,720p,198,14.80,8,WASM,SepiaTone
2,720p,198,7.40,9,JS,SepiaTone
2,720p,198,15.40,9,WASM,SepiaTone
2,720p,198,7.80,10,JS,SepiaTone
2,720p,198,13.80,10,WASM,SepiaTone
3,720p,210,7.00,1,JS,SepiaTone
3,720p,210,18.80,1,WASM,SepiaTone
3,720p,210,7.90,2,JS,SepiaTone
3,720p,210,16.00,2,WASM,SepiaTone
3,720p,210,15.10,3,JS,SepiaTone
3,720p,210,14.80,3,WASM,SepiaTone
3,720p,210,6.60,4,JS,SepiaTone
3,720p,210,14.60,4,WASM,SepiaTone
3,720p,210,7.70,5,JS,SepiaTone
3,720p,210,15.40,5,WASM,SepiaTone
3,720p,210,6.60,6,JS,SepiaTone
3,720p,210,16.00,6,WASM,SepiaTone
3,720p,210,6.70,7,JS,SepiaTone
3,720p,210,13.90,7,WASM,SepiaTone
3,720p,210,7.80,8,JS,SepiaTone
3,720p,210,16.80,8,WASM,SepiaTone
3,720p,210,9.20,9,JS,SepiaTone
3,720p,210,17.00,9,WASM,SepiaTone
3,720p,210,7.50,10,JS,SepiaTone
3,720p,210,13.90,10,WASM,SepiaTone
4,720p,130,6.50,1,JS,SepiaTone
4,720p,130,15.50,1,WASM,SepiaTone
4,720p,130,8.10,2,JS,SepiaTone
4,720p,130,14.80,2,WASM,SepiaTone
4,720p,130,12.20,3,JS,SepiaTone
4,720p,130,14.80,3,WASM,SepiaTone
4,720p,130,6.60,4,JS,SepiaTone
4,720p,130,17.80,4,WASM,SepiaTone
4,720p,130,6.50,5,JS,SepiaTone
4,720p,130,17.30,5,WASM,SepiaTone
4,720p,130,10.40,6,JS,SepiaTone
4,720p,130,16.50,6,WASM,SepiaTone
4,720p,130,10.30,7,JS,SepiaTone
4,720p,130,14.10,7,WASM,SepiaTone
4,720p,130,14.40,8,JS,SepiaTone
4,720p,130,13.40,8,WASM,SepiaTone
4,720p,130,6.40,9,JS,SepiaTone
4,720p,130,15.80,9,WASM,SepiaTone
4,720p,130,7.00,10,JS,SepiaTone
4,720p,130,18.20,10,WASM,SepiaTone
5,720p,147,20.70,1,JS,SepiaTone
5,720p,147,14.00,1,WASM,SepiaTone
5,720p,147,7.50,2,JS,SepiaTone
5,720p,147,13.90,2,WASM,SepiaTone
5,720p,147,14.20,3,JS,SepiaTone
5,720p,147,18.90,3,WASM,SepiaTone
5,720p,147,7.60,4,JS,SepiaTone
5,720p,147,21.50,4,WASM,SepiaTone
