FileID,FileName,TimeTaken (ms),TrialNum,Method,EncryptionMethod
1,dataset_1.csv,13580.90,1,JS,vigenere
1,dataset_1.csv,8282.60,1,WASM,vigenere
1,dataset_1.csv,13700.10,2,JS,vigenere
1,dataset_1.csv,8200.50,2,WASM,vigenere
1,dataset_1.csv,14038.00,3,JS,vigenere
1,dataset_1.csv,8738.50,3,WASM,vigenere
1,dataset_1.csv,13782.90,4,JS,vigenere
1,dataset_1.csv,8102.50,4,WASM,vigenere
1,dataset_1.csv,13862.50,5,JS,vigenere
1,dataset_1.csv,8476.30,5,WASM,vigenere
1,dataset_1.csv,14901.20,6,JS,vigenere
1,dataset_1.csv,8182.40,6,WASM,vigenere
1,dataset_1.csv,14004.20,7,JS,vigenere
1,dataset_1.csv,8636.80,7,WASM,vigenere
1,dataset_1.csv,14140.70,8,JS,vigenere
1,dataset_1.csv,8538.10,8,WASM,vigenere
1,dataset_1.csv,14359.40,9,JS,vigenere
1,dataset_1.csv,8700.50,9,WASM,vigenere
1,dataset_1.csv,14533.30,10,JS,vigenere
1,dataset_1.csv,8932.50,10,WASM,vigenere
2,dataset_2.csv,15141.40,1,JS,vigenere
2,dataset_2.csv,9965.90,1,WASM,vigenere
2,dataset_2.csv,14587.00,2,JS,vigenere
2,dataset_2.csv,8911.60,2,WASM,vigenere
2,dataset_2.csv,14710.10,3,JS,vigenere
2,dataset_2.csv,11232.10,3,WASM,vigenere
2,dataset_2.csv,15045.00,4,JS,vigenere
2,dataset_2.csv,9377.20,4,WASM,vigenere
2,dataset_2.csv,15853.70,5,JS,vigenere
2,dataset_2.csv,10022.60,5,WASM,vigenere
2,dataset_2.csv,15209.30,6,JS,vigenere
2,dataset_2.csv,9402.20,6,WASM,vigenere
2,dataset_2.csv,16293.70,7,JS,vigenere
2,dataset_2.csv,9379.60,7,WASM,vigenere
2,dataset_2.csv,16419.50,8,JS,vigenere
2,dataset_2.csv,9418.00,8,WASM,vigenere
2,dataset_2.csv,14854.10,9,JS,vigenere
2,dataset_2.csv,9457.80,9,WASM,vigenere
2,dataset_2.csv,15078.20,10,JS,vigenere
2,dataset_2.csv,11220.60,10,WASM,vigenere
3,dataset_3.csv,14793.10,1,JS,vigenere
3,dataset_3.csv,9676.90,1,WASM,vigenere
3,dataset_3.csv,15152.90,2,JS,vigenere
3,dataset_3.csv,9923.30,2,WASM,vigenere
3,dataset_3.csv,16160.70,3,JS,vigenere
3,dataset_3.csv,9524.20,3,WASM,vigenere
3,dataset_3.csv,15006.60,4,JS,vigenere
3,dataset_3.csv,9604.80,4,WASM,vigenere
3,dataset_3.csv,16877.10,5,JS,vigenere
3,dataset_3.csv,9743.70,5,WASM,vigenere
3,dataset_3.csv,14791.40,6,JS,vigenere
3,dataset_3.csv,9591.10,6,WASM,vigenere
3,dataset_3.csv,14909.20,7,JS,vigenere
3,dataset_3.csv,11732.20,7,WASM,vigenere
3,dataset_3.csv,14830.30,8,JS,vigenere
3,dataset_3.csv,9594.70,8,WASM,vigenere
3,dataset_3.csv,14823.00,9,JS,vigenere
3,dataset_3.csv,9657.90,9,WASM,vigenere
3,dataset_3.csv,16217.70,10,JS,vigenere
3,dataset_3.csv,9403.50,10,WASM,vigenere
4,dataset_4.csv,15054.80,1,JS,vigenere
4,dataset_4.csv,9226.30,1,WASM,vigenere
4,dataset_4.csv,16260.00,2,JS,vigenere
4,dataset_4.csv,9443.30,2,WASM,vigenere
4,dataset_4.csv,14649.60,3,JS,vigenere
4,dataset_4.csv,9313.50,3,WASM,vigenere
4,dataset_4.csv,14673.40,4,JS,vigenere
4,dataset_4.csv,10898.50,4,WASM,vigenere
4,dataset_4.csv,15287.20,5,JS,vigenere
4,dataset_4.csv,9302.80,5,WASM,vigenere
4,dataset_4.csv,14814.80,6,JS,vigenere
4,dataset_4.csv,9195.80,6,WASM,vigenere
4,dataset_4.csv,16156.70,7,JS,vigenere
4,dataset_4.csv,9145.00,7,WASM,vigenere
4,dataset_4.csv,14952.20,8,JS,vigenere
4,dataset_4.csv,9437.10,8,WASM,vigenere
4,dataset_4.csv,14619.50,9,JS,vigenere
4,dataset_4.csv,9591.80,9,WASM,vigenere
4,dataset_4.csv,14714.90,10,JS,vigenere
4,dataset_4.csv,10947.60,10,WASM,vigenere
5,dataset_5.csv,14404.10,1,JS,vigenere
5,dataset_5.csv,9291.40,1,WASM,vigenere
5,dataset_5.csv,14722.80,2,JS,vigenere
5,dataset_5.csv,9015.70,2,WASM,vigenere
5,dataset_5.csv,14654.10,3,JS,vigenere
5,dataset_5.csv,9310.30,3,WASM,vigenere
5,dataset_5.csv,14589.20,4,JS,vigenere
5,dataset_5.csv,9356.90,4,WASM,vigenere
5,dataset_5.csv,14671.30,5,JS,vigenere
5,dataset_5.csv,10819.90,5,WASM,vigenere
5,dataset_5.csv,14703.00,6,JS,vigenere
5,dataset_5.csv,9166.80,6,WASM,vigenere
5,dataset_5.csv,15218.30,7,JS,vigenere
5,dataset_5.csv,9202.50,7,WASM,vigenere
5,dataset_5.csv,14920.70,8,JS,vigenere
5,dataset_5.csv,9334.40,8,WASM,vigenere
5,dataset_5.csv,15161.80,9,JS,vigenere
5,dataset_5.csv,9528.00,9,WASM,vigenere
5,dataset_5.csv,14820.40,10,JS,vigenere
5,dataset_5.csv,9250.90,10,WASM,vigenere
6,dataset_6.csv,14791.80,1,JS,vigenere
6,dataset_6.csv,9423.10,1,WASM,vigenere
6,dataset_6.csv,14887.00,2,JS,vigenere
6,dataset_6.csv,8929.80,2,WASM,vigenere
6,dataset_6.csv,15412.20,3,JS,vigenere
6,dataset_6.csv,8939.50,3,WASM,vigenere
6,dataset_6.csv,14779.80,4,JS,vigenere
6,dataset_6.csv,9035.00,4,WASM,vigenere
6,dataset_6.csv,14642.90,5,JS,vigenere
6,dataset_6.csv,10652.60,5,WASM,vigenere
6,dataset_6.csv,14569.40,6,JS,vigenere
6,dataset_6.csv,9153.30,6,WASM,vigenere
6,dataset_6.csv,15110.60,7,JS,vigenere
6,dataset_6.csv,8751.20,7,WASM,vigenere
6,dataset_6.csv,14937.80,8,JS,vigenere
6,dataset_6.csv,8910.80,8,WASM,vigenere
6,dataset_6.csv,15346.90,9,JS,vigenere
6,dataset_6.csv,8955.40,9,WASM,vigenere
6,dataset_6.csv,14644.00,10,JS,vigenere
6,dataset_6.csv,9085.70,10,WASM,vigenere
7,dataset_7.csv,18210.80,1,JS,vigenere
7,dataset_7.csv,9154.30,1,WASM,vigenere
7,dataset_7.csv,14631.10,2,JS,vigenere
7,dataset_7.csv,9348.10,2,WASM,vigenere
7,dataset_7.csv,14793.00,3,JS,vigenere
7,dataset_7.csv,9094.40,3,WASM,vigenere
7,dataset_7.csv,16346.60,4,JS,vigenere
7,dataset_7.csv,9030.20,4,WASM,vigenere
7,dataset_7.csv,15031.00,5,JS,vigenere
7,dataset_7.csv,9064.30,5,WASM,vigenere
7,dataset_7.csv,16440.00,6,JS,vigenere
7,dataset_7.csv,9222.60,6,WASM,vigenere
7,dataset_7.csv,14690.50,7,JS,vigenere
7,dataset_7.csv,9288.80,7,WASM,vigenere
7,dataset_7.csv,17836.80,8,JS,vigenere
7,dataset_7.csv,12590.20,8,WASM,vigenere
7,dataset_7.csv,17598.10,9,JS,vigenere
7,dataset_7.csv,10867.50,9,WASM,vigenere
7,dataset_7.csv,15737.80,10,JS,vigenere
7,dataset_7.csv,10751.20,10,WASM,vigenere
8,dataset_8.csv,14920.50,1,JS,vigenere
8,dataset_8.csv,9192.30,1,WASM,vigenere
8,dataset_8.csv,15452.20,2,JS,vigenere
8,dataset_8.csv,9191.50,2,WASM,vigenere
8,dataset_8.csv,15923.40,3,JS,vigenere
8,dataset_8.csv,9135.20,3,WASM,vigenere
8,dataset_8.csv,14901.50,4,JS,vigenere
8,dataset_8.csv,9156.60,4,WASM,vigenere
8,dataset_8.csv,16452.40,5,JS,vigenere
8,dataset_8.csv,9512.90,5,WASM,vigenere
8,dataset_8.csv,14797.00,6,JS,vigenere
8,dataset_8.csv,9210.90,6,WASM,vigenere
8,dataset_8.csv,14696.60,7,JS,vigenere
8,dataset_8.csv,9068.50,7,WASM,vigenere
8,dataset_8.csv,16488.00,8,JS,vigenere
8,dataset_8.csv,9023.00,8,WASM,vigenere
8,dataset_8.csv,14860.40,9,JS,vigenere
8,dataset_8.csv,9111.70,9,WASM,vigenere
8,dataset_8.csv,16683.40,10,JS,vigenere
8,dataset_8.csv,9052.80,10,WASM,vigenere
9,dataset_9.csv,14736.30,1,JS,vigenere
9,dataset_9.csv,9150.20,1,WASM,vigenere
9,dataset_9.csv,14794.40,2,JS,vigenere
9,dataset_9.csv,8834.30,2,WASM,vigenere
9,dataset_9.csv,14953.30,3,JS,vigenere
9,dataset_9.csv,8756.60,3,WASM,vigenere
9,dataset_9.csv,14768.00,4,JS,vigenere
9,dataset_9.csv,8751.20,4,WASM,vigenere
9,dataset_9.csv,16964.10,5,JS,vigenere
9,dataset_9.csv,8791.60,5,WASM,vigenere
9,dataset_9.csv,14734.20,6,JS,vigenere
9,dataset_9.csv,8970.70,6,WASM,vigenere
9,dataset_9.csv,14932.10,7,JS,vigenere
9,dataset_9.csv,8984.70,7,WASM,vigenere
9,dataset_9.csv,16313.80,8,JS,vigenere
9,dataset_9.csv,8787.20,8,WASM,vigenere
9,dataset_9.csv,15396.60,9,JS,vigenere
9,dataset_9.csv,10175.80,9,WASM,vigenere
9,dataset_9.csv,14994.40,10,JS,vigenere
9,dataset_9.csv,8781.80,10,WASM,vigenere
10,dataset_10.csv,14692.00,1,JS,vigenere
10,dataset_10.csv,9192.10,1,WASM,vigenere
10,dataset_10.csv,14678.40,2,JS,vigenere
10,dataset_10.csv,9312.80,2,WASM,vigenere
10,dataset_10.csv,14532.10,3,JS,vigenere
10,dataset_10.csv,9076.60,3,WASM,vigenere
10,dataset_10.csv,14610.20,4,JS,vigenere
10,dataset_10.csv,8935.80,4,WASM,vigenere
10,dataset_10.csv,16629.30,5,JS,vigenere
10,dataset_10.csv,9028.80,5,WASM,vigenere
10,dataset_10.csv,14916.20,6,JS,vigenere
10,dataset_10.csv,9211.20,6,WASM,vigenere
10,dataset_10.csv,14795.60,7,JS,vigenere
10,dataset_10.csv,9406.90,7,WASM,vigenere
10,dataset_10.csv,15178.00,8,JS,vigenere
10,dataset_10.csv,9417.70,8,WASM,vigenere
10,dataset_10.csv,14685.70,9,JS,vigenere
10,dataset_10.csv,9277.30,9,WASM,vigenere
10,dataset_10.csv,14649.40,10,JS,vigenere
10,dataset_10.csv,9456.60,10,WASM,vigenere
