FileID,FileName,TimeTaken (ms),TrialNum,Method,EncryptionMethod
1,dataset_1.csv,19744.30,1,JS,all_enc_methods
1,dataset_1.csv,8404.40,1,WASM,all_enc_methods
1,dataset_1.csv,19686.70,2,JS,all_enc_methods
1,dataset_1.csv,8278.20,2,WASM,all_enc_methods
1,dataset_1.csv,20524.30,3,JS,all_enc_methods
1,dataset_1.csv,8361.80,3,WASM,all_enc_methods
1,dataset_1.csv,20748.50,4,JS,all_enc_methods
1,dataset_1.csv,8349.80,4,WASM,all_enc_methods
1,dataset_1.csv,21945.40,5,JS,all_enc_methods
1,dataset_1.csv,8503.10,5,WASM,all_enc_methods
1,dataset_1.csv,21025.50,6,JS,all_enc_methods
1,dataset_1.csv,8427.80,6,WASM,all_enc_methods
1,dataset_1.csv,20896.00,7,JS,all_enc_methods
1,dataset_1.csv,8428.30,7,WASM,all_enc_methods
1,dataset_1.csv,21248.60,8,JS,all_enc_methods
1,dataset_1.csv,8543.60,8,WASM,all_enc_methods
1,dataset_1.csv,22825.60,9,JS,all_enc_methods
1,dataset_1.csv,8561.00,9,WASM,all_enc_methods
1,dataset_1.csv,21710.80,10,JS,all_enc_methods
1,dataset_1.csv,8624.00,10,WASM,all_enc_methods
2,dataset_2.csv,20692.20,1,JS,all_enc_methods
2,dataset_2.csv,8815.30,1,WASM,all_enc_methods
2,dataset_2.csv,21138.10,2,JS,all_enc_methods
2,dataset_2.csv,8849.10,2,WASM,all_enc_methods
2,dataset_2.csv,22635.20,3,JS,all_enc_methods
2,dataset_2.csv,9082.30,3,WASM,all_enc_methods
2,dataset_2.csv,22695.40,4,JS,all_enc_methods
2,dataset_2.csv,9217.10,4,WASM,all_enc_methods
2,dataset_2.csv,22357.80,5,JS,all_enc_methods
2,dataset_2.csv,8945.80,5,WASM,all_enc_methods
2,dataset_2.csv,22406.10,6,JS,all_enc_methods
2,dataset_2.csv,8949.70,6,WASM,all_enc_methods
2,dataset_2.csv,22978.90,7,JS,all_enc_methods
2,dataset_2.csv,9452.30,7,WASM,all_enc_methods
2,dataset_2.csv,22812.10,8,JS,all_enc_methods
2,dataset_2.csv,9130.60,8,WASM,all_enc_methods
2,dataset_2.csv,22145.80,9,JS,all_enc_methods
2,dataset_2.csv,9108.80,9,WASM,all_enc_methods
2,dataset_2.csv,22723.90,10,JS,all_enc_methods
2,dataset_2.csv,9181.40,10,WASM,all_enc_methods
3,dataset_3.csv,20781.60,1,JS,all_enc_methods
3,dataset_3.csv,9370.50,1,WASM,all_enc_methods
3,dataset_3.csv,22840.00,2,JS,all_enc_methods
3,dataset_3.csv,8956.10,2,WASM,all_enc_methods
3,dataset_3.csv,22283.00,3,JS,all_enc_methods
3,dataset_3.csv,8775.50,3,WASM,all_enc_methods
3,dataset_3.csv,23263.90,4,JS,all_enc_methods
3,dataset_3.csv,8797.50,4,WASM,all_enc_methods
3,dataset_3.csv,22548.60,5,JS,all_enc_methods
3,dataset_3.csv,9275.80,5,WASM,all_enc_methods
3,dataset_3.csv,22384.40,6,JS,all_enc_methods
3,dataset_3.csv,8994.10,6,WASM,all_enc_methods
3,dataset_3.csv,22786.20,7,JS,all_enc_methods
